CUSTOM_REPORT_CONFIG_ID,Filename Format,Biller,Ouid,Date,Time,Extension,,MUNI00000CHANI, 
11,Custom_%billerid%_%date%,MUNI00000CHANI,,20250623,,,,, 
10,Custom_%billerid%_%date%,ELEC00000CHA3L,,20250623,,,,, 
104,Custom_%billerid%_%date%,KERA00000NATIA,,20250623,,,,, 
,Custom_%billerid%_%date%,CESU00000ODI01,,20250623,,,,, 
103,Custom_%billerid%_%date%,HDFC00000NATM1,,20250623,,,,, 
7,Custom_%billerid%_%date%,MPCZ00000MAP01,,20250623,,,,, 
8,Custom_%billerid%_%date%,MPCZ00000MAP02,,20250623,,,,, 
4,Custom_%billerid%_%date%,UTTA00000GUJAJ,,20250623,,,,, 
5,ONLINE_PAY_HDBU_PG_%date%,PASC00000GUJ8A,,20250623,,,,, 
4,ONLINE_PAY_HDBU_UG_%date%,UTTA00000GUJAJ,,20250623,,,,, 
20,Custom_%billerid%_%date%,PASC00000GUJ8A,,20250623,,,,, 
21,Custom_%billerid%_%date%,DAKS00000GUJM5,,20250623,,,,, 
3,ONLINE_PAY_HDBU_MG_%date%,MADH00000GUJOY,,20250623,,,,, 
6,ONLINE_PAY_HDBU_DG_%date%,DAKS00000GUJM5,,20250623,,,,,
105,Custom_%billerid%_%date%,GUJGAS000GUJ01,,20250623,,,,,
103,50200048209721%date%,HDFC00000NATM1,,20250623,,,,,
9,Custom_%billerid%_%date%,AYEF00000NATZB,,20250623,,,,,
103,50200048209721_%date(ddMMyyyy)%,HDFC00000NATM1,,23062025,,,,,If we split the COLLN
1,COLLN7_%date%,HDFC00000NATW1,,20250623,,,,,If we split the HUMM
103,50200048209721_%date(ddMMyyyy)%,HDFC00000NATM1,,23062025,,,,, 
2,HUMM15_%date(ddMMyyyy)%,HDFC00000NATW1,,23062025,,,,,
